1	4	2	2020-08-26 04:08:42	2020-08-26 04:08:42
2	29	3	2020-08-26 04:08:42	2020-08-26 04:08:42
3	33	4	2020-08-26 04:08:42	2020-08-26 04:08:42
4	34	4	2020-08-26 04:08:42	2020-08-26 04:08:42
5	20	5	2020-08-26 04:08:42	2020-08-26 04:08:42
6	25	5	2020-08-26 04:08:42	2020-08-26 04:08:42
7	6	6	2020-08-26 04:08:42	2020-08-26 04:08:42
8	7	7	2020-08-26 04:08:42	2020-08-26 04:08:42
9	8	7	2020-08-26 04:08:42	2020-08-26 04:08:42
10	33	7	2020-08-26 04:08:42	2020-08-26 04:08:42
11	21	8	2020-08-26 04:08:42	2020-08-26 04:08:42
12	38	9	2020-08-26 04:08:42	2020-08-26 04:08:42
13	17	10	2020-08-26 04:08:43	2020-08-26 04:08:43
14	44	11	2020-08-26 04:08:43	2020-08-26 04:08:43
15	33	14	2020-08-26 04:08:43	2020-08-26 04:08:43
16	35	14	2020-08-26 04:08:43	2020-08-26 04:08:43
17	17	16	2020-08-26 04:08:43	2020-08-26 04:08:43
18	19	16	2020-08-26 04:08:43	2020-08-26 04:08:43
19	33	17	2020-08-26 04:08:43	2020-08-26 04:08:43
20	19	18	2020-08-26 04:08:43	2020-08-26 04:08:43
21	33	20	2020-08-26 04:08:43	2020-08-26 04:08:43
22	38	22	2020-08-26 04:08:43	2020-08-26 04:08:43
23	40	22	2020-08-26 04:08:43	2020-08-26 04:08:43
24	17	23	2020-08-26 04:08:43	2020-08-26 04:08:43
25	18	23	2020-08-26 04:08:43	2020-08-26 04:08:43
26	17	24	2020-08-26 04:08:43	2020-08-26 04:08:43
27	21	25	2020-08-26 04:08:43	2020-08-26 04:08:43
28	22	25	2020-08-26 04:08:43	2020-08-26 04:08:43
29	12	26	2020-08-26 04:08:43	2020-08-26 04:08:43
30	21	27	2020-08-26 04:08:43	2020-08-26 04:08:43
31	17	28	2020-08-26 04:08:43	2020-08-26 04:08:43
32	17	29	2020-08-26 04:08:43	2020-08-26 04:08:43
33	19	29	2020-08-26 04:08:43	2020-08-26 04:08:43
34	33	30	2020-08-26 04:08:43	2020-08-26 04:08:43
35	34	30	2020-08-26 04:08:43	2020-08-26 04:08:43
36	33	31	2020-08-26 04:08:43	2020-08-26 04:08:43
37	34	31	2020-08-26 04:08:43	2020-08-26 04:08:43
38	17	32	2020-08-26 04:08:43	2020-08-26 04:08:43
39	18	32	2020-08-26 04:08:43	2020-08-26 04:08:43
40	17	33	2020-08-26 04:08:43	2020-08-26 04:08:43
41	27	34	2020-08-26 04:08:43	2020-08-26 04:08:43
42	40	35	2020-08-26 04:08:43	2020-08-26 04:08:43
43	17	36	2020-08-26 04:08:43	2020-08-26 04:08:43
44	18	36	2020-08-26 04:08:43	2020-08-26 04:08:43
45	9	37	2020-08-26 04:08:43	2020-08-26 04:08:43
46	15	38	2020-08-26 04:08:43	2020-08-26 04:08:43
47	40	39	2020-08-26 04:08:43	2020-08-26 04:08:43
48	21	40	2020-08-26 04:08:43	2020-08-26 04:08:43
49	17	41	2020-08-26 04:08:43	2020-08-26 04:08:43
50	19	41	2020-08-26 04:08:43	2020-08-26 04:08:43
51	17	42	2020-08-26 04:08:43	2020-08-26 04:08:43
52	17	45	2020-08-26 04:08:43	2020-08-26 04:08:43
