1	Dilithium	\N	\N	2020-08-26 04:08:40	2020-08-26 04:08:40
2	Parsteel	\N	\N	2020-08-26 04:08:40	2020-08-26 04:08:40
3	Tritanium	\N	\N	2020-08-26 04:08:40	2020-08-26 04:08:40
4		\N	\N	2020-08-26 04:08:40	2020-08-26 04:08:40
5	Tritanium	\N	9000	2020-08-26 04:08:42	2020-08-26 04:08:42
6	3* Raw Ore	\N	25000	2020-08-26 04:08:42	2020-08-26 04:08:42
7	3* Raw Gas	\N	18000	2020-08-26 04:08:42	2020-08-26 04:08:42
8	Parsteel	\N	150000	2020-08-26 04:08:43	2020-08-26 04:08:43
9	Tritanium	\N	60000	2020-08-26 04:08:43	2020-08-26 04:08:43
10	Dilithium	\N	25000	2020-08-26 04:08:43	2020-08-26 04:08:43
11	Parsteel	\N	20000	2020-08-26 04:08:43	2020-08-26 04:08:43
12	Tritanium	\N	8000	2020-08-26 04:08:43	2020-08-26 04:08:43
13	3* Raw Gas	\N	\N	2020-08-26 04:08:43	2020-08-26 04:08:43
14	Tritanium	\N	12000	2020-08-26 04:08:43	2020-08-26 04:08:43
15	Parsteel	\N	25000	2020-08-26 04:08:43	2020-08-26 04:08:43
16	Dilithium	\N	18000	2020-08-26 04:08:43	2020-08-26 04:08:43
17	2* Raw Crystal	\N	\N	2020-08-26 04:08:43	2020-08-26 04:08:43
18	Parsteel	\N	125000	2020-08-26 04:08:43	2020-08-26 04:08:43
19	Tritanium	\N	45000	2020-08-26 04:08:43	2020-08-26 04:08:43
20	2* Raw Crystal	\N	20000	2020-08-26 04:08:43	2020-08-26 04:08:43
21	Dilithium	\N	14000	2020-08-26 04:08:43	2020-08-26 04:08:43
22	Parsteel	\N	5000	2020-08-26 04:08:43	2020-08-26 04:08:43
23	Parsteel	\N	60000	2020-08-26 04:08:43	2020-08-26 04:08:43
24	Dilithium	\N	8000	2020-08-26 04:08:43	2020-08-26 04:08:43
25	Parsteel	\N	7000	2020-08-26 04:08:43	2020-08-26 04:08:43
26	Tritanium	\N	18000	2020-08-26 04:08:43	2020-08-26 04:08:43
27	Dilithium	\N	4000	2020-08-26 04:08:44	2020-08-26 04:08:44
